Bottle,Date,PrDM,DepSM,Latitude,Longitude,T090C,T190C,C0S/m,C1S/m,Sal00,Sal11,Sbeox0ML/L,OxsolML/L,FlSP,CStarAt0,CStarTr0,Ph
1,2017-07-28T19:31:3100Z,556.058,550.836,44.37430,-124.95018,5.4945,5.4950,3.339645,3.339875,34.1355,34.1377,0.4992,7.03144,6.5330e-02,12.4556,4.4428,7.554,(avg)
2,2017-07-28T19:31:4000Z,555.945,550.724,44.37430,-124.95018,5.4927,5.4931,3.339512,3.339726,34.1359,34.1379,0.4981,7.03172,6.5519e-02,12.4589,4.4392,7.554,(avg)
3,2017-07-28T19:36:5200Z,405.175,401.516,44.37431,-124.95022,6.2895,6.2894,3.397938,3.398126,34.0673,34.0694,0.8564,6.90495,6.0723e-02,12.3453,4.5670,7.577,(avg)
4,2017-07-28T19:37:0300Z,405.151,401.492,44.37432,-124.95022,6.2909,6.2901,3.398053,3.398187,34.0672,34.0695,0.8553,6.90473,6.1818e-02,12.3453,4.5670,7.581,(avg)
5,2017-07-28T19:41:2800Z,204.014,202.269,44.37432,-124.95022,7.2294,7.2298,3.465126,3.465381,33.9753,33.9777,1.3235,6.76113,6.7142e-02,12.3743,4.5339,7.636,(avg)
6,2017-07-28T19:41:4900Z,204.141,202.395,44.37432,-124.95020,7.2299,7.2302,3.465166,3.465420,33.9753,33.9777,1.3250,6.76106,6.5443e-02,12.3744,4.5339,7.637,(avg)
7,2017-07-28T19:43:0200Z,184.303,182.736,44.37432,-124.95020,7.3530,7.3533,3.474668,3.474925,33.9674,33.9699,1.4113,6.74243,6.6614e-02,12.3622,4.5477,7.649,(avg)
8,2017-07-28T19:43:3700Z,184.209,182.642,44.37430,-124.95022,7.3495,7.3506,3.474386,3.474706,33.9678,33.9703,1.4084,6.74295,6.3857e-02,12.3635,4.5462,7.650,(avg)
9,2017-07-28T19:45:0000Z,143.889,142.679,44.37432,-124.95022,7.6370,7.6378,3.495622,3.495912,33.9362,33.9386,1.6332,6.70041,9.8599e-02,12.3627,4.5472,7.668,(avg)
10,2017-07-28T19:45:1400Z,143.952,142.742,44.37432,-124.95022,7.6372,7.6373,3.495644,3.495905,33.9363,33.9389,1.6317,6.70039,1.1318e-01,12.3614,4.5486,7.673,(avg)
11,2017-07-28T19:46:2400Z,124.147,123.109,44.37432,-124.95020,7.8429,7.8434,3.509693,3.509991,33.8968,33.8995,1.9113,6.67097,7.5224e-02,12.3521,4.5592,7.710,(avg)
12,2017-07-28T19:46:3200Z,124.216,123.177,44.37432,-124.95020,7.8321,7.8328,3.508917,3.509223,33.8989,33.9015,1.9104,6.67251,7.6545e-02,12.3520,4.5592,7.718,(avg)
13,2017-07-28T19:47:3300Z,103.951,103.087,44.37430,-124.95020,8.0083,8.0086,3.520609,3.520888,33.8631,33.8658,1.9501,6.64759,1.3236e-01,12.3531,4.5580,7.725,(avg)
14,2017-07-28T19:47:4400Z,103.871,103.008,44.37430,-124.95020,8.0084,8.0086,3.520613,3.520892,33.8631,33.8658,1.9469,6.64758,1.4131e-01,12.3549,4.5560,7.728,(avg)
15,2017-07-28T19:49:0100Z,83.867,83.174,44.37430,-124.95022,8.4049,8.4051,3.547212,3.547477,33.7736,33.7762,2.0070,6.59250,1.5445e-01,12.3644,4.5452,7.725,(avg)
16,2017-07-28T19:49:1500Z,83.995,83.301,44.37430,-124.95022,8.4040,8.4042,3.547236,3.547527,33.7747,33.7776,2.0106,6.59259,1.6850e-01,12.3638,4.5459,7.734,(avg)
17,2017-07-28T19:50:1900Z,63.378,62.858,44.37430,-124.95021,8.5134,8.5143,3.538109,3.538614,33.5834,33.5878,2.0830,6.58466,2.8213e-01,12.3680,4.5411,7.741,(avg)
18,2017-07-28T19:50:3200Z,63.292,62.773,44.37430,-124.95020,8.5119,8.5122,3.537804,3.538112,33.5816,33.5845,2.0891,6.58496,2.6468e-01,12.3705,4.5383,7.746,(avg)
19,2017-07-28T19:51:4100Z,43.221,42.868,44.37430,-124.95020,8.6954,8.6930,3.523331,3.523839,33.2650,33.2726,2.5395,6.57153,6.9654e-01,12.3930,4.5128,7.787,(avg)
20,2017-07-28T19:51:5200Z,43.119,42.767,44.37430,-124.95020,8.7732,8.7538,3.522328,3.522985,33.1815,33.2066,2.7693,6.56371,9.4570e-01,12.3914,4.5146,7.807,(avg)
21,2017-07-28T19:53:0600Z,23.040,22.853,44.37428,-124.95020,9.2739,9.3193,3.538910,3.541360,32.8980,32.8815,3.4317,6.50318,4.9287e+00,12.5376,4.3527,7.913,(avg)
22,2017-07-28T19:53:1600Z,22.984,22.798,44.37428,-124.95020,9.3349,9.4413,3.541878,3.547485,32.8725,32.8325,3.7324,6.49549,4.3705e+00,12.6186,4.2654,7.930,(avg)
23,2017-07-28T19:54:1300Z,13.035,12.929,44.37430,-124.95020,10.0653,10.0689,3.584216,3.584864,32.6440,32.6474,4.6301,6.40175,1.2078e+01,13.3280,3.5721,8.042,(avg)
24,2017-07-28T19:54:2500Z,12.906,12.801,44.37430,-124.95020,10.0804,10.0802,3.585444,3.585810,32.6429,32.6468,4.5825,6.39970,1.2221e+01,13.3762,3.5298,8.061,(avg)
