Bottle	Date	PrDM	DepSM	Latitude	Longitude	T090C	T190C	C0S/m	C1S/m	Sal00	Sal11	Sbeox0ML/L	OxsolML/L	FlSP	CStarAt0	CStarTr0	Ph
1	2017-07-30T11:58:5600Z	2641.242	2603.241	45.83016	-129.74628	1.7976	1.7982	3.141899	3.141969	34.6276	34.6277	1.2841	7.66913	5.0565e-02	12.3158	4.6007	-3.005	(avg)
2	2017-07-30T11:59:0600Z	2640.943	2602.948	45.83016	-129.74628	1.7976	1.7982	3.141887	3.141961	34.6276	34.6278	1.2846	7.66914	5.0980e-02	12.3166	4.5998	-3.005	(avg)
3	2017-07-30T11:59:1600Z	2640.948	2602.953	45.83016	-129.74628	1.7975	1.7981	3.141879	3.141956	34.6276	34.6278	1.2841	7.66916	5.0791e-02	12.3185	4.5976	-3.005	(avg)
4	2017-07-30T11:59:2500Z	2640.588	2602.600	45.83016	-129.74628	1.7974	1.7981	3.141863	3.141940	34.6276	34.6278	1.2848	7.66917	5.1055e-02	12.3793	4.5307	-3.005	(avg)
5	2017-07-30T11:59:3900Z	2640.848	2602.855	45.83016	-129.74628	1.7976	1.7982	3.141876	3.141954	34.6275	34.6277	1.2833	7.66914	5.0942e-02	12.3158	4.6008	-3.005	(avg)
6	2017-07-30T11:59:4900Z	2640.675	2602.686	45.83016	-129.74628	1.7975	1.7982	3.141868	3.141943	34.6275	34.6277	1.2825	7.66915	5.0376e-02	12.3375	4.5766	-3.005	(avg)
7	2017-07-30T12:00:1100Z	2640.982	2602.986	45.83016	-129.74628	1.7975	1.7981	3.141880	3.141950	34.6275	34.6278	1.2845	7.66915	5.0980e-02	12.4125	4.4959	-3.005	(avg)
8	2017-07-30T12:42:2000Z	222.544	220.602	45.83016	-129.74628	6.8342	6.8315	3.423731	3.423651	33.9019	33.9037	2.2852	6.82598	5.7324e-02	12.3279	4.5868	-2.825	(avg)
9	2017-07-30T12:42:3500Z	222.536	220.594	45.83014	-129.74629	6.8352	6.8388	3.423811	3.424286	33.9017	33.9034	2.2888	6.82582	5.8193e-02	12.3283	4.5864	-2.825	(avg)
10	2017-07-30T12:44:0400Z	202.615	200.856	45.83016	-129.74628	7.1275	7.1176	3.448032	3.447423	33.8895	33.8926	2.4589	6.78072	5.6078e-02	12.3405	4.5726	-2.815	(avg)
11	2017-07-30T12:44:1400Z	202.967	201.205	45.83016	-129.74628	7.1462	7.1464	3.449697	3.449868	33.8891	33.8909	2.4894	6.77784	5.7475e-02	12.3318	4.5824	-2.814	(avg)
12	2017-07-30T12:45:3400Z	181.614	180.047	45.83016	-129.74630	7.4918	7.4932	3.478529	3.478837	33.8749	33.8769	2.7563	6.72524	6.0307e-02	12.3879	4.5211	-2.802	(avg)
13	2017-07-30T12:45:4500Z	181.531	179.964	45.83016	-129.74629	7.4996	7.5038	3.479093	3.479708	33.8735	33.8760	2.7684	6.72412	6.2120e-02	12.3272	4.5877	-2.802	(avg)
14	2017-07-30T12:46:5500Z	161.192	159.809	45.83014	-129.74630	7.6988	7.7052	3.494059	3.494708	33.8509	33.8517	2.7838	6.69476	6.2271e-02	12.3286	4.5860	-2.795	(avg)
15	2017-07-30T12:47:0400Z	160.925	159.544	45.83014	-129.74630	7.7118	7.7215	3.494946	3.495815	33.8480	33.8479	2.7550	6.69292	6.0270e-02	12.3308	4.5835	-2.794	(avg)
16	2017-07-30T12:50:3600Z	61.096	60.586	45.83014	-129.74628	9.8223	9.8217	3.560182	3.560356	32.5986	32.6009	5.1576	6.43767	1.7984e+00	12.4454	4.4541	-2.721	(avg)
17	2017-07-30T12:52:1800Z	40.547	40.210	45.83014	-129.74628	13.0017	13.0124	3.841985	3.843331	32.5657	32.5692	4.9761	6.01797	7.4555e-01	12.4563	4.4421	-2.613	(avg)
18	2017-07-30T12:54:4300Z	10.433	10.347	45.83016	-129.74628	16.2542	16.2519	4.144137	4.144224	32.5992	32.6018	4.3612	5.63567	2.3220e-01	12.3829	4.5242	-2.505	(avg)
19	2017-07-30T12:54:5400Z	10.353	10.268	45.83016	-129.74628	16.2858	16.2724	4.146952	4.146077	32.5981	32.6013	4.3462	5.63222	2.3477e-01	12.3797	4.5279	-2.504	(avg)
20	2017-07-30T12:57:0800Z	4.972	4.931	45.83016	-129.74630	16.5596	16.5552	4.061580	4.172853	31.6345	32.6066	4.3208	5.63510	1.5056e-01	12.3660	4.5433	-2.495	(avg)
21	2017-07-30T12:57:1700Z	4.882	4.842	45.83016	-129.74630	16.5565	16.5552	4.097317	4.172824	31.9478	32.6064	4.3168	5.62474	1.4210e-01	12.3634	4.5463	-2.495	(avg)
22	2017-07-30T12:57:2700Z	5.015	4.974	45.83016	-129.74629	16.4652	16.4633	4.132049	4.164227	32.3236	32.6062	4.3337	5.62190	1.6978e-01	12.3637	4.5461	-2.498	(avg)
23	2017-07-30T12:57:3700Z	5.127	5.085	45.83016	-129.74628	16.5154	16.5085	4.133017	4.168502	32.2914	32.6066	4.3256	5.61750	1.5366e-01	12.3592	4.5511	-2.497	(avg)
24	2017-07-30T12:58:0300Z	4.563	4.525	45.83016	-129.74628	16.5490	16.5475	4.158377	4.172098	32.4855	32.6065	4.2563	5.60720	1.5566e-01	12.3655	4.5440	-2.496	(avg)
